test_index,true_label,predicted_label,predicted_probability
18,3,8,0.70465046
184,8,3,0.69598603
445,6,0,0.99774796
449,3,5,0.9994635
551,7,2,0.7613757
659,2,7,0.50117177
684,7,2,0.9627696
740,4,9,0.85979617
938,3,5,0.99721485
939,2,0,0.83770776
1014,6,0,0.97400767
1039,7,3,0.839516
1226,7,2,0.9999871
1232,9,4,0.7499598
1247,9,5,0.998928
1260,7,1,0.99279845
1414,9,0,0.48407337
1520,7,2,0.81349427
1522,7,9,0.6340184
1709,9,5,0.9589693
1878,8,3,0.8130603
1901,9,4,0.99804556
1949,7,2,0.55489796
2035,5,3,0.99979705
2070,7,9,0.9884375
2090,4,1,0.7182536
2093,8,0,0.7440341
2118,6,0,0.9214692
2129,9,8,0.70461833
2130,4,9,0.999933
2135,6,1,0.99963427
2182,1,3,0.9959847
2195,7,2,0.9969177
2293,9,4,0.97074753
2314,7,2,0.8139098
2387,9,1,0.57291144
2447,4,9,0.99784255
2462,2,0,0.8871028
2578,7,2,0.58950615
2597,5,3,0.9445266
2654,6,1,0.9999776
2927,3,2,0.9999839
2939,9,5,0.99921584
2953,3,5,0.9994837
3146,3,5,0.53612167
3225,7,9,0.9512653
3422,6,0,0.99971455
3441,7,2,0.97526747
3520,6,4,0.94938767
3525,7,2,0.5261663
3534,4,8,0.73901075
3647,7,3,0.83879185
3727,8,9,0.944743
3767,7,2,0.95343274
3808,7,8,0.99217564
3871,8,3,0.968188
3906,1,3,0.9754018
3943,3,5,0.9301499
4027,7,1,0.9829342
4078,9,8,0.7122816
4163,9,0,0.99660456
4176,2,7,0.9955041
4199,7,9,0.81567645
4380,8,5,0.82975614
4487,7,2,0.94972336
4536,6,5,0.89763683
4571,6,8,0.95209724
4699,6,1,0.9980331
4740,3,5,0.771207
4761,9,4,0.9130444
4808,3,5,0.6666997
4823,9,4,0.9361802
4837,7,2,0.60050446
4860,4,9,0.9752221
4861,7,3,0.693305
5246,7,2,0.92267627
5654,7,2,0.90478855
5937,5,3,0.7680904
5955,3,8,0.99670225
5973,3,8,0.7904772
6172,9,5,0.5130121
6173,9,8,0.971095
6571,9,7,0.92697436
6576,7,1,0.74168414
6597,0,7,0.7795344
7978,7,2,0.7178348
8008,7,2,0.56516165
8246,3,9,0.72186077
8277,3,5,0.9981712
8316,7,2,0.9974033
8408,8,5,0.99128526
9009,7,2,0.9493981
9015,7,2,0.9918459
9019,7,2,0.6206151
9505,7,2,0.9958509
9642,9,7,0.5460579
9729,5,6,0.9873125
9755,8,5,0.53600484
