name,phase,hidden_units,activation,initializer,optimizer,learning_rate,batch_size,epochs,dropout,l2,parameters,training_seconds,best_epoch,best_val_accuracy,best_val_loss,final_train_accuracy,final_val_accuracy,generalization_gap
one_hidden,architecture,256,relu,he_normal,adam,0.001,128,10,0.0,0.0,203530,37.348,10,0.980400025844574,0.07696150243282318,0.9974181652069092,0.980400025844574,0.017018139362335205
two_hidden,architecture,256-128,relu,he_normal,adam,0.001,128,10,0.0,0.0,235146,24.864,8,0.9765999913215637,0.09324712306261063,0.9961636066436768,0.9751999974250793,0.020963609218597412
three_hidden,architecture,256-128-64,relu,he_normal,adam,0.001,128,10,0.0,0.0,242762,27.394,8,0.9768000245094299,0.08807647228240967,0.9947272539138794,0.9761999845504761,0.01852726936340332
four_hidden,architecture,256-128-64-32,relu,he_normal,adam,0.001,128,10,0.0,0.0,244522,30.389,9,0.9793999791145325,0.07985249161720276,0.9948363900184631,0.9787999987602234,0.016036391258239746
five_hidden,architecture,256-128-64-32-16,relu,he_normal,adam,0.001,128,10,0.0,0.0,244890,33.069,10,0.9757999777793884,0.11281019449234009,0.993218183517456,0.9757999777793884,0.017418205738067627
deep_narrow,architecture,224-96-48-24,relu,he_normal,adam,0.001,128,10,0.0,0.0,203522,29.214,10,0.9746000170707703,0.119548000395298,0.994418203830719,0.9746000170707703,0.01981818675994873
activation_relu,activation,256,relu,he_normal,adam,0.001,128,10,0.0,0.0,203530,23.995,10,0.980400025844574,0.07696150243282318,0.9974181652069092,0.980400025844574,0.017018139362335205
activation_tanh,activation,256,tanh,glorot_uniform,adam,0.001,128,10,0.0,0.0,203530,23.298,10,0.9782000184059143,0.07819420099258423,0.9943636655807495,0.9782000184059143,0.016163647174835205
activation_sigmoid,activation,256,sigmoid,glorot_uniform,adam,0.001,128,10,0.0,0.0,203530,24.052,10,0.9697999954223633,0.0996331050992012,0.9802181720733643,0.9697999954223633,0.010418176651000977
deep_sigmoid_gradient_test,gradient_diagnostic,128-128-128-128-128-128,sigmoid,glorot_uniform,adam,0.001,128,10,0.0,0.0,184330,36.788,10,0.9430000185966492,0.2025657296180725,0.9606909155845642,0.9430000185966492,0.01769089698791504
initializer_zeros,initialization,256,relu,zeros,adam,0.001,128,10,0.0,0.0,203530,24.099,1,0.11240000277757645,2.3011722564697266,0.11236363649368286,0.11240000277757645,-3.6366283893585205e-05
initializer_glorot_uniform,initialization,256,relu,glorot_uniform,adam,0.001,128,10,0.0,0.0,203530,23.489,7,0.9775999784469604,0.07929063588380814,0.9972727298736572,0.9768000245094299,0.020472705364227295
initializer_he_normal,initialization,256,relu,he_normal,adam,0.001,128,10,0.0,0.0,203530,24.037,10,0.980400025844574,0.07696150243282318,0.9974181652069092,0.980400025844574,0.017018139362335205
optimizer_adam,optimizer,256,relu,he_normal,adam,0.001,128,10,0.0,0.0,203530,23.075,10,0.980400025844574,0.07696150243282318,0.9974181652069092,0.980400025844574,0.017018139362335205
optimizer_sgd_momentum,optimizer,256,relu,he_normal,sgd_momentum,0.001,128,10,0.0,0.0,203530,20.495,10,0.9151999950408936,0.30364078283309937,0.9185272455215454,0.9151999950408936,0.0033272504806518555
optimizer_rmsprop,optimizer,256,relu,he_normal,rmsprop,0.001,128,10,0.0,0.0,203530,22.327,7,0.979200005531311,0.07944358885288239,0.9967272877693176,0.9782000184059143,0.01852726936340332
lr_0_1,learning_rate,256,relu,he_normal,adam,0.1,128,10,0.0,0.0,203530,24.704,1,0.8956000208854675,0.4391859471797943,0.8305818438529968,0.8411999940872192,-0.010618150234222412
lr_0_01,learning_rate,256,relu,he_normal,adam,0.01,128,10,0.0,0.0,203530,24.877,6,0.9700000286102295,0.14168424904346466,0.9855999946594238,0.9613999724388123,0.024200022220611572
lr_0_001,learning_rate,256,relu,he_normal,adam,0.001,128,10,0.0,0.0,203530,26.466,10,0.980400025844574,0.07696150243282318,0.9974181652069092,0.980400025844574,0.017018139362335205
batch_32,batch_size,256,relu,he_normal,adam,0.001,32,10,0.0,0.0,203530,85.357,8,0.977400004863739,0.09201332181692123,0.9967636466026306,0.974399983882904,0.022363662719726562
batch_128,batch_size,256,relu,he_normal,adam,0.001,128,10,0.0,0.0,203530,24.548,10,0.980400025844574,0.07696150243282318,0.9974181652069092,0.980400025844574,0.017018139362335205
batch_512,batch_size,256,relu,he_normal,adam,0.001,512,10,0.0,0.0,203530,9.697,9,0.9739999771118164,0.08339151740074158,0.9880363345146179,0.9739999771118164,0.014036357402801514
no_regularization,regularization,256,relu,he_normal,adam,0.001,128,10,0.0,0.0,203530,24.081,10,0.980400025844574,0.07696150243282318,0.9974181652069092,0.980400025844574,0.017018139362335205
dropout_020,regularization,256,relu,he_normal,adam,0.001,128,10,0.2,0.0,203530,25.691,9,0.9797999858856201,0.07024067640304565,0.989654541015625,0.9782000184059143,0.011454522609710693
l2_0001,regularization,256,relu,he_normal,adam,0.001,128,10,0.0,0.0001,203530,23.926,10,0.9796000123023987,0.10757903754711151,0.9938908815383911,0.9796000123023987,0.014290869235992432
dropout_l2,regularization,256,relu,he_normal,adam,0.001,128,10,0.2,0.0001,203530,26.614,8,0.978600025177002,0.11209846287965775,0.9854727387428284,0.9775999784469604,0.00787276029586792
final_fully_connected,final_fc,256,relu,he_normal,adam,0.001,128,18,0.0,0.0,203530,29.789,11,0.9805999994277954,0.07696150243282318,0.9994181990623474,0.9793999791145325,0.02001821994781494
classical_cnn,cnn_benchmark,Conv32-Pool-Conv64-Pool-120-84,relu,glorot_uniform,adam,0.001,128,18,0.0,0.0,255230,68.478,17,0.9911999702453613,0.035845473408699036,0.99798184633255,0.9909999966621399,0.006981849670410156
