test_index,true_label,predicted_label,predicted_probability
151,9,8,0.915669
247,4,2,0.9943171
259,6,0,0.66897315
321,2,7,0.89247596
340,5,3,0.9527057
381,3,7,0.7662575
445,6,0,0.9990238
495,8,2,0.62051654
582,8,2,0.7909703
619,1,8,0.8243411
684,7,3,0.8360907
691,8,4,0.9976634
720,5,8,0.9974521
846,7,9,0.5899699
882,9,7,0.48719582
947,8,9,0.9866946
951,5,4,0.73877245
956,1,2,0.9314172
965,6,0,0.75232863
1014,6,5,0.9616452
1039,7,2,0.44965103
1050,2,3,0.8109572
1112,4,6,0.9086836
1156,7,8,0.9317785
1178,4,0,0.45658973
1182,6,8,0.54630995
1194,7,9,0.50229704
1226,7,2,0.99706894
1232,9,4,0.89026636
1242,4,9,0.9016472
1247,9,5,0.560447
1260,7,1,0.7208654
1319,8,3,0.8484553
1326,7,2,0.6009427
1328,7,9,0.6627813
1393,5,3,0.9646072
1444,6,0,0.48731986
1500,7,1,0.4022464
1522,7,9,0.8858911
1530,8,7,0.9603332
1549,4,2,0.88848865
1553,9,3,0.8548657
1581,7,9,0.7520587
1609,2,6,0.8578399
1670,5,3,0.67072976
1678,2,0,0.62155974
1681,3,7,0.9914492
1717,8,0,0.8069023
1754,7,2,0.6068149
1790,2,8,0.856762
1800,6,4,0.6732191
1878,8,3,0.7651536
1901,9,4,0.98740655
1941,7,9,0.2814708
1952,9,3,0.76005125
1984,2,0,0.91813856
2004,8,9,0.4725921
2024,7,9,0.56204903
2035,5,3,0.88872755
2053,4,9,0.9947237
2098,2,0,0.9713508
2109,3,7,0.35197857
2118,6,0,0.9730175
2135,6,1,0.62586224
2182,1,2,0.9433585
2272,8,0,0.9540735
2293,9,0,0.98522437
2334,7,9,0.675509
2387,9,1,0.96984494
2454,6,8,0.7471564
2526,5,3,0.79907995
2597,5,3,0.5856245
2607,7,1,0.71991783
2648,9,0,0.93431103
2654,6,1,0.99962246
2720,9,4,0.5800822
2743,5,8,0.7456856
2810,5,3,0.795113
2896,8,0,0.9390247
2915,7,3,0.74442315
2921,3,2,0.90734935
2927,3,2,0.8190861
2939,9,7,0.92613006
3060,9,7,0.28099048
3073,1,2,0.9960258
3117,5,9,0.975875
3225,7,9,0.58562964
3289,8,3,0.7924717
3422,6,0,0.9278164
3503,9,1,0.98662937
3520,6,4,0.9999758
3558,5,0,0.99861693
3559,8,5,0.53754705
3567,8,5,0.9792045
3597,9,3,0.89123255
3662,8,0,0.79586667
3727,8,4,0.99179417
3749,6,0,0.63508695
3751,7,2,0.9028206
3757,8,3,0.70454496
3796,2,8,0.84892154
3808,7,8,0.937368
3838,7,1,0.93621457
3853,6,2,0.63363534
3902,5,3,0.7956936
3906,1,3,0.9751159
3941,4,2,0.993004
3943,3,5,0.90107226
3976,7,1,0.5534567
3985,9,4,0.7495851
4065,0,2,0.8569726
4078,9,3,0.8466867
4156,2,3,0.6581986
4163,9,0,0.9337927
4176,2,7,0.9779124
4199,7,9,0.9718317
4201,1,7,0.6991353
4224,9,7,0.79434174
4248,2,8,0.9130764
4289,2,8,0.5781962
4294,9,5,0.4822905
4433,7,2,0.5942657
4443,3,2,0.5801223
4497,8,7,0.99653935
4500,9,1,0.55376357
4504,2,7,0.49342275
4536,6,5,0.91396403
4601,8,4,0.70915145
4731,8,7,0.5892557
4807,8,3,0.7651253
4814,6,7,0.3387568
4823,9,4,0.8838079
4837,7,2,0.5843512
4880,0,5,0.5984446
4956,8,4,0.9074043
5078,3,6,0.6511494
5140,3,6,0.526339
5331,1,6,0.82220376
5457,1,8,0.8225538
5642,1,5,0.99632555
5676,4,3,0.57763517
5734,3,7,0.7961218
5749,8,2,0.9828483
5887,7,0,0.8193712
5888,4,0,0.8483675
5936,4,9,0.78249913
5937,5,3,0.89434165
5955,3,8,0.8890669
5973,3,8,0.9637757
5981,5,9,0.62799436
5982,5,3,0.8542909
5997,5,9,0.51858604
6011,3,9,0.9105529
6045,3,9,0.59451747
6059,3,9,0.92793465
6166,9,3,0.50255334
6505,9,0,0.9648381
6555,8,9,0.8902469
6571,9,7,0.82439333
6597,0,7,0.52989316
6625,8,4,0.6422952
6651,0,5,0.5794346
6755,8,9,0.9725989
6783,1,6,0.93584746
6847,6,4,0.9567599
7432,7,9,0.32625312
7552,8,9,0.5925348
7800,3,2,0.97587913
7821,3,2,0.6609458
7886,2,4,0.8857754
7902,7,9,0.588282
7921,8,0,0.64282125
8062,5,8,0.9022784
8094,2,8,0.69932014
8183,8,5,0.7941171
8198,2,4,0.8514228
8277,3,9,0.5213349
8279,8,4,0.6699613
8293,3,9,0.53151625
8311,6,4,0.95326847
8325,0,6,0.84301037
8353,2,4,0.59447235
8408,8,6,0.43477145
8413,8,5,0.83079076
8522,8,6,0.8950762
8527,4,9,0.9419024
9009,7,2,0.99809283
9015,7,2,0.99207324
9024,7,2,0.9964174
9280,8,5,0.60353786
9422,5,3,0.59077805
9587,9,4,0.9999428
9634,0,1,0.53433126
9664,2,7,0.72247
9679,6,3,0.87278473
9700,2,8,0.65291166
9719,5,0,0.52497077
9729,5,6,0.99722964
9745,4,0,0.9333374
9749,5,6,0.99453837
9755,8,5,0.6773047
9768,2,0,0.9851141
9770,5,0,0.96619874
9777,5,0,0.7981703
9779,2,0,0.9815916
9781,7,4,0.6144543
9811,2,8,0.57815945
9839,2,3,0.57556957
9904,2,0,0.7072424
9944,3,9,0.7927082
9982,5,6,0.36076882
