epoch,layer,activation_grad_norm,kernel_grad_norm,gradient_norm,weights
1,hidden_1,0.07211069017648697,0.10508362948894501,0.10508362948894501,100352
1,hidden_2,0.05391717702150345,0.08595556765794754,0.08595556765794754,16384
1,hidden_3,0.04081879183650017,0.06470238417387009,0.06470238417387009,16384
1,hidden_4,0.0296955443918705,0.03944440186023712,0.03944440186023712,16384
1,hidden_5,0.02666928805410862,0.028811270371079445,0.028811270371079445,16384
1,hidden_6,0.06556549668312073,0.08346732705831528,0.08346732705831528,16384
1,digit,,0.33056724071502686,0.33056724071502686,1280
2,hidden_1,0.1912297010421753,0.24710793793201447,0.24710793793201447,100352
2,hidden_2,0.12663571536540985,0.29636651277542114,0.29636651277542114,16384
2,hidden_3,0.077194944024086,0.18225790560245514,0.18225790560245514,16384
2,hidden_4,0.044870525598526,0.09136304259300232,0.09136304259300232,16384
2,hidden_5,0.03278961032629013,0.06482314318418503,0.06482314318418503,16384
2,hidden_6,0.05136403441429138,0.08121781796216965,0.08121781796216965,16384
2,digit,,0.27302801609039307,0.27302801609039307,1280
3,hidden_1,0.24034281075000763,0.21285058557987213,0.21285058557987213,100352
3,hidden_2,0.14779408276081085,0.21773174405097961,0.21773174405097961,16384
3,hidden_3,0.08451791852712631,0.11431236565113068,0.11431236565113068,16384
3,hidden_4,0.04512641206383705,0.05827753618359566,0.05827753618359566,16384
3,hidden_5,0.032041169703006744,0.04321543499827385,0.04321543499827385,16384
3,hidden_6,0.04544629156589508,0.048547130078077316,0.048547130078077316,16384
3,digit,,0.13488346338272095,0.13488346338272095,1280
4,hidden_1,0.3045053482055664,0.4161076247692108,0.4161076247692108,100352
4,hidden_2,0.1878918558359146,0.586341142654419,0.586341142654419,16384
4,hidden_3,0.10600350797176361,0.3916647434234619,0.3916647434234619,16384
4,hidden_4,0.05419890955090523,0.1823735535144806,0.1823735535144806,16384
4,hidden_5,0.036734674125909805,0.11002855747938156,0.11002855747938156,16384
4,hidden_6,0.047603484243154526,0.09595636278390884,0.09595636278390884,16384
4,digit,,0.2019662708044052,0.2019662708044052,1280
5,hidden_1,0.3073166012763977,0.2649461627006531,0.2649461627006531,100352
5,hidden_2,0.17447073757648468,0.2377554029226303,0.2377554029226303,16384
5,hidden_3,0.0958981141448021,0.15568649768829346,0.15568649768829346,16384
5,hidden_4,0.049734022468328476,0.074453204870224,0.074453204870224,16384
5,hidden_5,0.03350250795483589,0.048251792788505554,0.048251792788505554,16384
5,hidden_6,0.045314159244298935,0.04886525496840477,0.04886525496840477,16384
5,digit,,0.11732139438390732,0.11732139438390732,1280
6,hidden_1,0.34389427304267883,0.49405741691589355,0.49405741691589355,100352
6,hidden_2,0.2119358777999878,0.6879323124885559,0.6879323124885559,16384
6,hidden_3,0.12088422477245331,0.45662420988082886,0.45662420988082886,16384
6,hidden_4,0.06041594222187996,0.2162206918001175,0.2162206918001175,16384
6,hidden_5,0.038985710591077805,0.12849724292755127,0.12849724292755127,16384
6,hidden_6,0.04932722449302673,0.10433804243803024,0.10433804243803024,16384
6,digit,,0.22105015814304352,0.22105015814304352,1280
7,hidden_1,0.3875788450241089,0.7422907948493958,0.7422907948493958,100352
7,hidden_2,0.2288118153810501,1.1274675130844116,1.1274675130844116,16384
7,hidden_3,0.1314254254102707,0.7148284912109375,0.7148284912109375,16384
7,hidden_4,0.06794141232967377,0.34211865067481995,0.34211865067481995,16384
7,hidden_5,0.04659613221883774,0.20275044441223145,0.20275044441223145,16384
7,hidden_6,0.062071774154901505,0.1622752696275711,0.1622752696275711,16384
7,digit,,0.37863606214523315,0.37863606214523315,1280
8,hidden_1,0.3469163179397583,0.45085811614990234,0.45085811614990234,100352
8,hidden_2,0.20093363523483276,0.5622795820236206,0.5622795820236206,16384
8,hidden_3,0.11506089568138123,0.36689049005508423,0.36689049005508423,16384
8,hidden_4,0.06010523810982704,0.18406715989112854,0.18406715989112854,16384
8,hidden_5,0.03902777284383774,0.11536353081464767,0.11536353081464767,16384
8,hidden_6,0.048719488084316254,0.08945498615503311,0.08945498615503311,16384
8,digit,,0.17952106893062592,0.17952106893062592,1280
9,hidden_1,0.28406813740730286,0.20100487768650055,0.20100487768650055,100352
9,hidden_2,0.14302723109722137,0.11448445171117783,0.11448445171117783,16384
9,hidden_3,0.07445336133241653,0.059922389686107635,0.059922389686107635,16384
9,hidden_4,0.0424095094203949,0.029246263206005096,0.029246263206005096,16384
9,hidden_5,0.02991749532520771,0.02452201023697853,0.02452201023697853,16384
9,hidden_6,0.04274475574493408,0.03362967446446419,0.03362967446446419,16384
9,digit,,0.08860112726688385,0.08860112726688385,1280
10,hidden_1,0.28304123878479004,0.21475069224834442,0.21475069224834442,100352
10,hidden_2,0.13940632343292236,0.13895173370838165,0.13895173370838165,16384
10,hidden_3,0.07235165685415268,0.07955541461706161,0.07955541461706161,16384
10,hidden_4,0.04062490537762642,0.03994046151638031,0.03994046151638031,16384
10,hidden_5,0.02889343723654747,0.03285347297787666,0.03285347297787666,16384
10,hidden_6,0.041681986302137375,0.039099954068660736,0.039099954068660736,16384
10,digit,,0.10137853026390076,0.10137853026390076,1280
